[SYS] 2025/02/01 - 00:39:53 | One API v0.6.8 started 
[SYS] 2025/02/01 - 00:39:53 | using MySQL as database 
[SYS] 2025/02/01 - 00:39:54 | database migration started 
[SYS] 2025/02/01 - 00:40:26 | database migrated 
[SYS] 2025/02/01 - 00:40:26 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 00:40:26 | using theme berry 
[SYS] 2025/02/01 - 00:40:26 | initializing token encoders 
[SYS] 2025/02/01 - 00:40:27 | token encoders initialized 
[SYS] 2025/02/01 - 00:40:27 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 02:35:09 | One API v0.6.8 started 
[SYS] 2025/02/01 - 02:35:09 | using MySQL as database 
[SYS] 2025/02/01 - 02:35:10 | database migration started 
[SYS] 2025/02/01 - 02:35:50 | database migrated 
[SYS] 2025/02/01 - 02:35:50 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 02:35:51 | using theme berry 
[SYS] 2025/02/01 - 02:35:51 | initializing token encoders 
[SYS] 2025/02/01 - 02:35:51 | token encoders initialized 
[SYS] 2025/02/01 - 02:35:51 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 04:36:33 | One API v0.6.8 started 
[SYS] 2025/02/01 - 04:36:33 | using MySQL as database 
[SYS] 2025/02/01 - 04:36:33 | database migration started 
[SYS] 2025/02/01 - 04:36:37 | database migrated 
[SYS] 2025/02/01 - 04:36:37 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 04:36:37 | using theme berry 
[SYS] 2025/02/01 - 04:36:37 | initializing token encoders 
[SYS] 2025/02/01 - 04:36:37 | token encoders initialized 
[SYS] 2025/02/01 - 04:36:37 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 07:04:36 | One API v0.6.8 started 
[SYS] 2025/02/01 - 07:04:36 | using MySQL as database 
[SYS] 2025/02/01 - 07:04:38 | database migration started 
[SYS] 2025/02/01 - 07:05:13 | database migrated 
[SYS] 2025/02/01 - 07:05:14 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 07:05:14 | using theme berry 
[SYS] 2025/02/01 - 07:05:14 | initializing token encoders 
[SYS] 2025/02/01 - 07:05:15 | token encoders initialized 
[SYS] 2025/02/01 - 07:05:15 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 09:08:01 | One API v0.6.8 started 
[SYS] 2025/02/01 - 09:08:01 | using MySQL as database 
[SYS] 2025/02/01 - 09:08:03 | database migration started 
[SYS] 2025/02/01 - 09:08:48 | database migrated 
[SYS] 2025/02/01 - 09:08:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 09:08:49 | using theme berry 
[SYS] 2025/02/01 - 09:08:49 | initializing token encoders 
[SYS] 2025/02/01 - 09:08:49 | token encoders initialized 
[SYS] 2025/02/01 - 09:08:49 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 11:25:03 | One API v0.6.8 started 
[SYS] 2025/02/01 - 11:25:03 | using MySQL as database 
[SYS] 2025/02/01 - 11:25:04 | database migration started 
[SYS] 2025/02/01 - 11:25:41 | database migrated 
[SYS] 2025/02/01 - 11:25:41 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 11:25:41 | using theme berry 
[SYS] 2025/02/01 - 11:25:41 | initializing token encoders 
[SYS] 2025/02/01 - 11:25:42 | token encoders initialized 
[SYS] 2025/02/01 - 11:25:42 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 19:22:45 | One API v0.6.8 started 
[SYS] 2025/02/01 - 19:22:45 | using MySQL as database 
[SYS] 2025/02/01 - 19:22:45 | database migration started 
[SYS] 2025/02/01 - 19:22:48 | database migrated 
[SYS] 2025/02/01 - 19:22:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 19:22:48 | using theme berry 
[SYS] 2025/02/01 - 19:22:48 | initializing token encoders 
[SYS] 2025/02/01 - 19:22:49 | token encoders initialized 
[SYS] 2025/02/01 - 19:22:49 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 21:26:09 | One API v0.6.8 started 
[SYS] 2025/02/01 - 21:26:09 | using MySQL as database 
[SYS] 2025/02/01 - 21:26:10 | database migration started 
[SYS] 2025/02/01 - 21:26:38 | database migrated 
[SYS] 2025/02/01 - 21:26:38 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 21:26:39 | using theme berry 
[SYS] 2025/02/01 - 21:26:39 | initializing token encoders 
[SYS] 2025/02/01 - 21:26:39 | token encoders initialized 
[SYS] 2025/02/01 - 21:26:39 | server started on http://localhost:3000 
[SYS] 2025/02/01 - 23:15:51 | One API v0.6.8 started 
[SYS] 2025/02/01 - 23:15:51 | using MySQL as database 
[SYS] 2025/02/01 - 23:15:51 | database migration started 
[SYS] 2025/02/01 - 23:15:55 | database migrated 
[SYS] 2025/02/01 - 23:15:55 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/01 - 23:15:55 | using theme berry 
[SYS] 2025/02/01 - 23:15:55 | initializing token encoders 
[SYS] 2025/02/01 - 23:15:55 | token encoders initialized 
[SYS] 2025/02/01 - 23:15:55 | server started on http://localhost:3000 
