[SYS] 2025/01/23 - 02:05:11 | One API v0.6.8 started 
[SYS] 2025/01/23 - 02:05:11 | using MySQL as database 
[SYS] 2025/01/23 - 02:05:13 | database migration started 
[SYS] 2025/01/23 - 02:05:56 | database migrated 
[SYS] 2025/01/23 - 02:05:56 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 02:05:57 | using theme berry 
[SYS] 2025/01/23 - 02:05:57 | initializing token encoders 
[SYS] 2025/01/23 - 02:05:57 | token encoders initialized 
[SYS] 2025/01/23 - 02:05:57 | server started on http://localhost:3000 
[SYS] 2025/01/23 - 05:03:48 | One API v0.6.8 started 
[SYS] 2025/01/23 - 05:03:48 | using MySQL as database 
[SYS] 2025/01/23 - 05:03:49 | database migration started 
[SYS] 2025/01/23 - 05:04:34 | database migrated 
[SYS] 2025/01/23 - 05:04:35 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 05:04:35 | using theme berry 
[SYS] 2025/01/23 - 05:04:35 | initializing token encoders 
[SYS] 2025/01/23 - 05:04:36 | token encoders initialized 
[SYS] 2025/01/23 - 05:04:36 | server started on http://localhost:3000 
[SYS] 2025/01/23 - 05:33:33 | CacheGetTokenByKey failed: record not found 
[ERR] 2025/01/23 - 05:33:33 | 2025012305333184366076262738289 | 无效的令牌 
[GIN] 2025/01/23 - 05:33:33 | 2025012305333184366076262738289 | 401 |  1.266113021s |       127.0.0.1 |     GET /v1/models
[SYS] 2025/01/23 - 08:22:28 | One API v0.6.8 started 
[SYS] 2025/01/23 - 08:22:28 | using MySQL as database 
[SYS] 2025/01/23 - 08:22:30 | database migration started 
[SYS] 2025/01/23 - 08:23:14 | database migrated 
[SYS] 2025/01/23 - 08:23:14 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 08:23:15 | using theme berry 
[SYS] 2025/01/23 - 08:23:15 | initializing token encoders 
[SYS] 2025/01/23 - 08:23:15 | token encoders initialized 
[SYS] 2025/01/23 - 08:23:15 | server started on http://localhost:3000 
[SYS] 2025/01/23 - 14:14:51 | One API v0.6.8 started 
[SYS] 2025/01/23 - 14:14:51 | using MySQL as database 
[SYS] 2025/01/23 - 14:14:52 | database migration started 
[SYS] 2025/01/23 - 14:15:26 | database migrated 
[SYS] 2025/01/23 - 14:15:26 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 14:15:27 | using theme berry 
[SYS] 2025/01/23 - 14:15:27 | initializing token encoders 
[SYS] 2025/01/23 - 14:15:28 | token encoders initialized 
[SYS] 2025/01/23 - 14:15:28 | server started on http://localhost:3000 
[GIN] 2025/01/23 - 14:18:25 | 2025012314182563072904798321595 | 200 |    8.595541ms |       127.0.0.1 |     GET /
[GIN] 2025/01/23 - 14:19:02 | 2025012314190246021813903901411 | 200 |     875.779µs |       127.0.0.1 |     GET /
[SYS] 2025/01/23 - 17:17:09 | One API v0.6.8 started 
[SYS] 2025/01/23 - 17:17:09 | using MySQL as database 
[SYS] 2025/01/23 - 17:17:11 | database migration started 
[SYS] 2025/01/23 - 17:17:57 | database migrated 
[SYS] 2025/01/23 - 17:17:57 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 17:17:58 | using theme berry 
[SYS] 2025/01/23 - 17:17:58 | initializing token encoders 
[SYS] 2025/01/23 - 17:17:59 | token encoders initialized 
[SYS] 2025/01/23 - 17:17:59 | server started on http://localhost:3000 
[SYS] 2025/01/23 - 20:46:08 | One API v0.6.8 started 
[SYS] 2025/01/23 - 20:46:08 | using MySQL as database 
[SYS] 2025/01/23 - 20:46:09 | database migration started 
[SYS] 2025/01/23 - 20:46:12 | database migrated 
[SYS] 2025/01/23 - 20:46:12 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/23 - 20:46:12 | using theme berry 
[SYS] 2025/01/23 - 20:46:12 | initializing token encoders 
[SYS] 2025/01/23 - 20:46:13 | token encoders initialized 
[SYS] 2025/01/23 - 20:46:13 | server started on http://localhost:3000 
