[SYS] 2025/01/31 - 00:15:49 | One API v0.6.8 started 
[SYS] 2025/01/31 - 00:15:49 | using MySQL as database 
[SYS] 2025/01/31 - 00:15:50 | database migration started 
[SYS] 2025/01/31 - 00:16:19 | database migrated 
[SYS] 2025/01/31 - 00:16:19 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 00:16:19 | using theme berry 
[SYS] 2025/01/31 - 00:16:19 | initializing token encoders 
[SYS] 2025/01/31 - 00:16:20 | token encoders initialized 
[SYS] 2025/01/31 - 00:16:20 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 01:00:18 | One API v0.6.8 started 
[SYS] 2025/01/31 - 01:00:18 | using MySQL as database 
[SYS] 2025/01/31 - 01:00:19 | database migration started 
[SYS] 2025/01/31 - 01:01:00 | database migrated 
[SYS] 2025/01/31 - 01:01:00 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 01:01:01 | using theme berry 
[SYS] 2025/01/31 - 01:01:01 | initializing token encoders 
[SYS] 2025/01/31 - 01:01:02 | token encoders initialized 
[SYS] 2025/01/31 - 01:01:02 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 05:08:48 | One API v0.6.8 started 
[SYS] 2025/01/31 - 05:08:48 | using MySQL as database 
[SYS] 2025/01/31 - 05:08:49 | database migration started 
[SYS] 2025/01/31 - 05:09:29 | database migrated 
[SYS] 2025/01/31 - 05:09:30 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 05:09:30 | using theme berry 
[SYS] 2025/01/31 - 05:09:30 | initializing token encoders 
[SYS] 2025/01/31 - 05:09:31 | token encoders initialized 
[SYS] 2025/01/31 - 05:09:31 | server started on http://localhost:3000 
[SYS] 2025/01/31 - 07:53:17 | One API v0.6.8 started 
[SYS] 2025/01/31 - 07:53:17 | using MySQL as database 
[SYS] 2025/01/31 - 07:53:19 | database migration started 
[SYS] 2025/01/31 - 07:54:04 | database migrated 
[SYS] 2025/01/31 - 07:54:04 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/31 - 07:54:05 | using theme berry 
[SYS] 2025/01/31 - 07:54:05 | initializing token encoders 
[SYS] 2025/01/31 - 07:54:05 | token encoders initialized 
