[SYS] 2025/02/02 - 01:35:23 | One API v0.6.8 started 
[SYS] 2025/02/02 - 01:35:23 | using MySQL as database 
[SYS] 2025/02/02 - 01:35:24 | database migration started 
[SYS] 2025/02/02 - 01:35:55 | database migrated 
[SYS] 2025/02/02 - 01:35:55 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 01:35:56 | using theme berry 
[SYS] 2025/02/02 - 01:35:56 | initializing token encoders 
[SYS] 2025/02/02 - 01:35:56 | token encoders initialized 
[SYS] 2025/02/02 - 01:35:56 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 03:06:46 | One API v0.6.8 started 
[SYS] 2025/02/02 - 03:06:46 | using MySQL as database 
[SYS] 2025/02/02 - 03:06:47 | database migration started 
[SYS] 2025/02/02 - 03:07:32 | database migrated 
[SYS] 2025/02/02 - 03:07:33 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 03:07:33 | using theme berry 
[SYS] 2025/02/02 - 03:07:33 | initializing token encoders 
[SYS] 2025/02/02 - 03:07:34 | token encoders initialized 
[SYS] 2025/02/02 - 03:07:34 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 04:52:28 | One API v0.6.8 started 
[SYS] 2025/02/02 - 04:52:28 | using MySQL as database 
[SYS] 2025/02/02 - 04:52:29 | database migration started 
[SYS] 2025/02/02 - 04:52:57 | database migrated 
[SYS] 2025/02/02 - 04:52:57 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 04:52:58 | using theme berry 
[SYS] 2025/02/02 - 04:52:58 | initializing token encoders 
[SYS] 2025/02/02 - 04:52:58 | token encoders initialized 
[SYS] 2025/02/02 - 04:52:58 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 10:25:47 | One API v0.6.8 started 
[SYS] 2025/02/02 - 10:25:47 | using MySQL as database 
[SYS] 2025/02/02 - 10:25:52 | database migration started 
[SYS] 2025/02/02 - 10:27:49 | database migrated 
[SYS] 2025/02/02 - 10:27:49 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 10:27:50 | using theme berry 
[SYS] 2025/02/02 - 10:27:50 | initializing token encoders 
[SYS] 2025/02/02 - 10:27:50 | token encoders initialized 
[SYS] 2025/02/02 - 10:27:50 | server started on http://localhost:3000 
[GIN] 2025/02/02 - 11:19:07 | 2025020211190534386594115307405 | 200 |  2.395764337s |       127.0.0.1 |     GET /v1/models
[GIN] 2025/02/02 - 11:24:12 | 2025020211241056846275389788462 | 200 |  2.400801451s |       127.0.0.1 |     GET /v1/models
[GIN] 2025/02/02 - 11:39:38 | 2025020211393578629480489465772 | 200 |  2.401477041s |       127.0.0.1 |     GET /v1/models
[SYS] 2025/02/02 - 13:47:47 | One API v0.6.8 started 
[SYS] 2025/02/02 - 13:47:47 | using MySQL as database 
[SYS] 2025/02/02 - 13:47:48 | database migration started 
[SYS] 2025/02/02 - 13:48:27 | database migrated 
[SYS] 2025/02/02 - 13:48:28 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 13:48:28 | using theme berry 
[SYS] 2025/02/02 - 13:48:28 | initializing token encoders 
[SYS] 2025/02/02 - 13:48:29 | token encoders initialized 
[SYS] 2025/02/02 - 13:48:29 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 16:07:38 | One API v0.6.8 started 
[SYS] 2025/02/02 - 16:07:38 | using MySQL as database 
[SYS] 2025/02/02 - 16:07:56 | database migration started 
[SYS] 2025/02/02 - 16:09:57 | database migrated 
[SYS] 2025/02/02 - 16:09:57 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 16:09:58 | using theme berry 
[SYS] 2025/02/02 - 16:09:58 | initializing token encoders 
[SYS] 2025/02/02 - 16:09:59 | token encoders initialized 
[SYS] 2025/02/02 - 16:09:59 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 19:39:39 | One API v0.6.8 started 
[SYS] 2025/02/02 - 19:39:39 | using MySQL as database 
[SYS] 2025/02/02 - 19:39:40 | database migration started 
[SYS] 2025/02/02 - 19:40:26 | database migrated 
[SYS] 2025/02/02 - 19:40:26 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 19:40:27 | using theme berry 
[SYS] 2025/02/02 - 19:40:27 | initializing token encoders 
[SYS] 2025/02/02 - 19:40:28 | token encoders initialized 
[SYS] 2025/02/02 - 19:40:28 | server started on http://localhost:3000 
[SYS] 2025/02/02 - 22:36:59 | One API v0.6.8 started 
[SYS] 2025/02/02 - 22:36:59 | using MySQL as database 
[SYS] 2025/02/02 - 22:36:59 | database migration started 
[SYS] 2025/02/02 - 22:37:02 | database migrated 
[SYS] 2025/02/02 - 22:37:02 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/02/02 - 22:37:02 | using theme berry 
[SYS] 2025/02/02 - 22:37:02 | initializing token encoders 
[SYS] 2025/02/02 - 22:37:03 | token encoders initialized 
[SYS] 2025/02/02 - 22:37:03 | server started on http://localhost:3000 
