[SYS] 2025/01/29 - 01:18:51 | One API v0.6.8 started 
[SYS] 2025/01/29 - 01:18:51 | using MySQL as database 
[SYS] 2025/01/29 - 01:18:52 | database migration started 
[SYS] 2025/01/29 - 01:19:23 | database migrated 
[SYS] 2025/01/29 - 01:19:23 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 01:19:24 | using theme berry 
[SYS] 2025/01/29 - 01:19:24 | initializing token encoders 
[SYS] 2025/01/29 - 01:19:24 | token encoders initialized 
[SYS] 2025/01/29 - 01:19:24 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 03:36:14 | One API v0.6.8 started 
[SYS] 2025/01/29 - 03:36:14 | using MySQL as database 
[SYS] 2025/01/29 - 03:36:15 | database migration started 
[SYS] 2025/01/29 - 03:36:44 | database migrated 
[SYS] 2025/01/29 - 03:36:45 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 03:36:45 | using theme berry 
[SYS] 2025/01/29 - 03:36:45 | initializing token encoders 
[SYS] 2025/01/29 - 03:36:46 | token encoders initialized 
[SYS] 2025/01/29 - 03:36:46 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 05:48:56 | One API v0.6.8 started 
[SYS] 2025/01/29 - 05:48:56 | using MySQL as database 
[SYS] 2025/01/29 - 05:48:57 | database migration started 
[SYS] 2025/01/29 - 05:49:35 | database migrated 
[SYS] 2025/01/29 - 05:49:35 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 05:49:35 | using theme berry 
[SYS] 2025/01/29 - 05:49:35 | initializing token encoders 
[SYS] 2025/01/29 - 05:49:36 | token encoders initialized 
[SYS] 2025/01/29 - 05:49:36 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 08:14:00 | One API v0.6.8 started 
[SYS] 2025/01/29 - 08:14:00 | using MySQL as database 
[SYS] 2025/01/29 - 08:14:00 | database migration started 
[SYS] 2025/01/29 - 08:14:11 | database migrated 
[SYS] 2025/01/29 - 08:14:11 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 08:14:11 | using theme berry 
[SYS] 2025/01/29 - 08:14:11 | initializing token encoders 
[SYS] 2025/01/29 - 08:14:12 | token encoders initialized 
[SYS] 2025/01/29 - 08:14:12 | server started on http://localhost:3000 
[GIN] 2025/01/29 - 08:38:01 | 2025012908380147860937662201731 | 200 |   14.142506ms |       127.0.0.1 |     GET /
[GIN] 2025/01/29 - 08:39:18 | 2025012908391834056050429658007 | 200 |     419.136µs |       127.0.0.1 |     GET /
[SYS] 2025/01/29 - 09:50:22 | One API v0.6.8 started 
[SYS] 2025/01/29 - 09:50:22 | using MySQL as database 
[SYS] 2025/01/29 - 09:50:23 | database migration started 
[SYS] 2025/01/29 - 09:51:09 | database migrated 
[SYS] 2025/01/29 - 09:51:09 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 09:51:10 | using theme berry 
[SYS] 2025/01/29 - 09:51:10 | initializing token encoders 
[SYS] 2025/01/29 - 09:51:11 | token encoders initialized 
[SYS] 2025/01/29 - 09:51:11 | server started on http://localhost:3000 
[GIN] 2025/01/29 - 11:17:51 | 2025012911175128273560056945812 | 200 |   15.493176ms |       127.0.0.1 |     GET /csrf-token
[SYS] 2025/01/29 - 13:12:40 | One API v0.6.8 started 
[SYS] 2025/01/29 - 13:12:40 | using MySQL as database 
[SYS] 2025/01/29 - 13:12:41 | database migration started 
[SYS] 2025/01/29 - 13:13:29 | database migrated 
[SYS] 2025/01/29 - 13:13:30 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 13:13:30 | using theme berry 
[SYS] 2025/01/29 - 13:13:30 | initializing token encoders 
[SYS] 2025/01/29 - 13:13:31 | token encoders initialized 
[SYS] 2025/01/29 - 13:13:31 | server started on http://localhost:3000 
[GIN] 2025/01/29 - 14:09:32 | 202501291409329394453421715777 | 200 |   52.415996ms |       127.0.0.1 |     GET /
[GIN] 2025/01/29 - 14:09:32 | 2025012914093224636429853473927 | 200 |    3.356809ms |       127.0.0.1 |     GET /
[SYS] 2025/01/29 - 15:34:54 | One API v0.6.8 started 
[SYS] 2025/01/29 - 15:34:54 | using MySQL as database 
[SYS] 2025/01/29 - 15:34:55 | database migration started 
[SYS] 2025/01/29 - 15:35:42 | database migrated 
[SYS] 2025/01/29 - 15:35:42 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/29 - 15:35:43 | using theme berry 
[SYS] 2025/01/29 - 15:35:43 | initializing token encoders 
[SYS] 2025/01/29 - 15:35:43 | token encoders initialized 
[SYS] 2025/01/29 - 15:35:43 | server started on http://localhost:3000 
[SYS] 2025/01/29 - 18:06:10 | One API v0.6.8 started 
