[SYS] 2025/01/24 - 03:28:53 | One API v0.6.8 started 
[SYS] 2025/01/24 - 03:28:53 | using MySQL as database 
[SYS] 2025/01/24 - 03:28:54 | database migration started 
[SYS] 2025/01/24 - 03:29:39 | database migrated 
[SYS] 2025/01/24 - 03:29:40 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 03:29:40 | using theme berry 
[SYS] 2025/01/24 - 03:29:40 | initializing token encoders 
[SYS] 2025/01/24 - 03:29:41 | token encoders initialized 
[SYS] 2025/01/24 - 03:29:41 | server started on http://localhost:3000 
[GIN] 2025/01/24 - 04:05:29 | 2025012404052941985294955444665 | 200 |     28.5153ms |       127.0.0.1 |     GET /
[GIN] 2025/01/24 - 04:05:31 | 2025012404053117237354590061353 | 200 |    5.624386ms |       127.0.0.1 |     GET /favicon.ico
[GIN] 2025/01/24 - 04:05:33 | 2025012404053390843842347199074 | 200 |     209.516µs |       127.0.0.1 |     PRI *
[SYS] 2025/01/24 - 06:26:22 | One API v0.6.8 started 
[SYS] 2025/01/24 - 06:26:22 | using MySQL as database 
[SYS] 2025/01/24 - 06:26:22 | database migration started 
[SYS] 2025/01/24 - 06:26:25 | database migrated 
[SYS] 2025/01/24 - 06:26:25 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 06:26:26 | using theme berry 
[SYS] 2025/01/24 - 06:26:26 | initializing token encoders 
[SYS] 2025/01/24 - 06:26:26 | token encoders initialized 
[SYS] 2025/01/24 - 06:26:26 | server started on http://localhost:3000 
[SYS] 2025/01/24 - 09:41:01 | One API v0.6.8 started 
[SYS] 2025/01/24 - 09:41:01 | using MySQL as database 
[SYS] 2025/01/24 - 09:41:03 | database migration started 
[SYS] 2025/01/24 - 09:41:48 | database migrated 
[SYS] 2025/01/24 - 09:41:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 09:41:49 | using theme berry 
[SYS] 2025/01/24 - 09:41:49 | initializing token encoders 
[SYS] 2025/01/24 - 09:41:50 | token encoders initialized 
[SYS] 2025/01/24 - 09:41:50 | server started on http://localhost:3000 
[SYS] 2025/01/24 - 12:50:43 | One API v0.6.8 started 
[SYS] 2025/01/24 - 12:50:43 | using MySQL as database 
[SYS] 2025/01/24 - 12:50:43 | database migration started 
[SYS] 2025/01/24 - 12:50:47 | database migrated 
[SYS] 2025/01/24 - 12:50:47 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 12:50:47 | using theme berry 
[SYS] 2025/01/24 - 12:50:47 | initializing token encoders 
[SYS] 2025/01/24 - 12:50:48 | token encoders initialized 
[SYS] 2025/01/24 - 12:50:48 | server started on http://localhost:3000 
[SYS] 2025/01/24 - 19:06:25 | One API v0.6.8 started 
[SYS] 2025/01/24 - 19:06:25 | using MySQL as database 
[SYS] 2025/01/24 - 19:06:26 | database migration started 
[SYS] 2025/01/24 - 19:07:05 | database migrated 
[SYS] 2025/01/24 - 19:07:05 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 19:07:06 | using theme berry 
[SYS] 2025/01/24 - 19:07:06 | initializing token encoders 
[SYS] 2025/01/24 - 19:07:07 | token encoders initialized 
[SYS] 2025/01/24 - 19:07:07 | server started on http://localhost:3000 
[SYS] 2025/01/24 - 22:20:44 | One API v0.6.8 started 
[SYS] 2025/01/24 - 22:20:44 | using MySQL as database 
[SYS] 2025/01/24 - 22:20:45 | database migration started 
[SYS] 2025/01/24 - 22:21:14 | database migrated 
[SYS] 2025/01/24 - 22:21:14 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/24 - 22:21:14 | using theme berry 
[SYS] 2025/01/24 - 22:21:14 | initializing token encoders 
[SYS] 2025/01/24 - 22:21:15 | token encoders initialized 
[SYS] 2025/01/24 - 22:21:15 | server started on http://localhost:3000 
