[SYS] 2025/01/13 - 01:55:26 | One API v0.6.8 started 
[SYS] 2025/01/13 - 01:55:26 | using MySQL as database 
[SYS] 2025/01/13 - 01:55:27 | database migration started 
[SYS] 2025/01/13 - 01:55:56 | database migrated 
[SYS] 2025/01/13 - 01:55:56 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/13 - 01:55:57 | using theme berry 
[SYS] 2025/01/13 - 01:55:57 | initializing token encoders 
[SYS] 2025/01/13 - 01:55:57 | token encoders initialized 
[SYS] 2025/01/13 - 01:55:57 | server started on http://localhost:3000 
[SYS] 2025/01/13 - 02:26:37 | One API v0.6.8 started 
[SYS] 2025/01/13 - 02:26:37 | using MySQL as database 
[SYS] 2025/01/13 - 02:26:38 | database migration started 
[SYS] 2025/01/13 - 02:27:18 | database migrated 
[SYS] 2025/01/13 - 02:27:19 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/13 - 02:27:19 | using theme berry 
[SYS] 2025/01/13 - 02:27:19 | initializing token encoders 
[SYS] 2025/01/13 - 02:27:20 | token encoders initialized 
[SYS] 2025/01/13 - 02:27:20 | server started on http://localhost:3000 
[SYS] 2025/01/13 - 02:58:25 | One API v0.6.8 started 
[SYS] 2025/01/13 - 02:58:25 | using MySQL as database 
[SYS] 2025/01/13 - 02:58:26 | database migration started 
[SYS] 2025/01/13 - 02:58:57 | database migrated 
[SYS] 2025/01/13 - 02:58:57 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/13 - 02:58:58 | using theme berry 
[SYS] 2025/01/13 - 02:58:58 | initializing token encoders 
[SYS] 2025/01/13 - 02:58:58 | token encoders initialized 
[SYS] 2025/01/13 - 02:58:58 | server started on http://localhost:3000 
[SYS] 2025/01/13 - 03:28:35 | One API v0.6.8 started 
[SYS] 2025/01/13 - 03:28:35 | using MySQL as database 
[SYS] 2025/01/13 - 03:28:37 | database migration started 
[SYS] 2025/01/13 - 03:29:22 | database migrated 
[SYS] 2025/01/13 - 03:29:22 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/13 - 03:29:23 | using theme berry 
[SYS] 2025/01/13 - 03:29:23 | initializing token encoders 
[SYS] 2025/01/13 - 03:29:23 | token encoders initialized 
[SYS] 2025/01/13 - 03:29:23 | server started on http://localhost:3000 
[SYS] 2025/01/13 - 04:52:46 | One API v0.6.8 started 
[SYS] 2025/01/13 - 04:52:46 | using MySQL as database 
[SYS] 2025/01/13 - 04:52:47 | database migration started 
[SYS] 2025/01/13 - 04:53:34 | database migrated 
[SYS] 2025/01/13 - 04:53:35 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2025/01/13 - 04:53:35 | using theme berry 
[SYS] 2025/01/13 - 04:53:35 | initializing token encoders 
[SYS] 2025/01/13 - 04:53:36 | token encoders initialized 
[SYS] 2025/01/13 - 04:53:36 | server started on http://localhost:3000 
